year,month,approval_rate,cpi,unemployment_rate,kospi,interest_rate,ccsi,scandal_presence,scandal_type
2022,5,51,107.5,3,"2,685.90",1.75,107.2,0,NA
2022,6,49,108.21,3,"2,332.64",1.75,103.1,1,0
2022,7,32,108.73,2.9,"2,451.50",2.25,98.2,1,0
2022,8,26,108.63,2.1,"2,472.05",2.5,99.5,1,0
2022,9,28,108.82,2.4,"2,155.49",2.5,98.3,1,1
2022,10,29,109.16,2.4,"2,293.61",3,95.4,1,1
2022,11,29,109.07,2.3,"2,472.53",3.25,91.6,0,NA
2022,12,33,109.26,3,"2,236.40",3.25,91.9,1,1
2023,1,36,110.07,3.6,"2,425.08",3.5,90.4,1,1
2023,2,35,110.33,3.1,"2,412.84",3.5,91.5,0,NA
2023,3,33,110.52,2.9,"2,476.86",3.5,91.7,1,1
2023,4,30,110.77,2.8,"2,501.23",3.5,94.2,1,1
2023,5,35,111.13,2.7,"2,577.12",3.5,94.6,1,1
2023,6,35,111.16,2.7,"2,564.28",3.5,96.1,0,NA
2023,7,35,111.29,2.7,"2,603.81",3.5,94.5,0,NA
2023,8,34,112.28,2,"2,556.27",3.5,94.4,0,NA
2023,9,32,112.85,2.3,"2,465.07",3.5,93.1,0,NA
2023,10,32,113.27,2.1,"2,277.99",3.5,92.1,0,NA
2023,11,34,112.68,2.3,"2,535.29",3.5,91.5,0,NA
2023,12,31,112.73,3.3,"2,655.28",3.5,91.4,0,NA
2024,1,32,113.17,3.7,"2,497.09",3.5,91.5,0,NA
2024,2,34,113.78,3.2,"2,642.36",3.5,93.3,0,NA
2024,3,34,113.95,3,"2,746.63",3.5,92.2,0,NA
2024,4,23,114.01,3,"2,692.06",3.5,94.5,0,NA
2024,5,23,114.1,3,"2,636.52",3.5,93.8,0,NA
2024,6,26,113.84,2.9,"2,797.82",3.5,94.7,0,NA
2024,7,27,114.13,2.5,"2,770.69",3.5,95.9,0,NA
2024,8,25,114.54,1.9,"2,674.31",3.5,94.2,0,NA
2024,9,22,114.65,2.1,"2,593.27",3.5,93.7,0,NA
2024,10,20,114.69,2.3,"2,556.15",3.25,92.5,1,1
2024,11,19,114.4,2.2,"2,455.91",3,92.7,1,1
,,,,,,,,,
